filename,c_min,c_max,r_min,r_max
0003d5dfa8f0dd41.jpg,155,238,55,138
0003d5dfa8f0dd41.jpg,427,531,356,460
0003d5dfa8f0dd41.jpg,164,237,178,251
0003d5dfa8f0dd41.jpg,703,801,97,195
0003d5dfa8f0dd41.jpg,386,544,131,289
0007ad5c6245a41d.jpg,137,545,171,579
0007ad5c6245a41d.jpg,614,966,105,457
000cc0cd61c6c8d7.jpg,182,437,336,591
001ea8a8ca78a3bc.jpg,502,556,567,621
001ea8a8ca78a3bc.jpg,628,740,200,312
00430ce61009c131.jpg,659,780,408,529
00430ce61009c131.jpg,236,306,153,223
0046c490ad699ce9.jpg,80,174,409,503
0046c490ad699ce9.jpg,718,881,164,327
004a688b02428848.jpg,77,402,640,965
005feff8c814fb4c.jpg,507,878,89,460
005feff8c814fb4c.jpg,153,535,124,506
006f325ad71643a2.jpg,374,452,389,467
00790ccfad100384.jpg,247,323,195,271
00790ccfad100384.jpg,639,722,241,324
00790ccfad100384.jpg,292,370,608,686
00790ccfad100384.jpg,287,347,411,471
007e2d0680208072.jpg,344,602,194,452
0081d67c4cfc9134.jpg,463,518,342,397
0081d67c4cfc9134.jpg,554,681,356,483
00824274fbef9c93.jpg,297,353,437,493
00824274fbef9c93.jpg,57,129,260,332
00824274fbef9c93.jpg,234,512,12,290
0084d707a9cca12b.jpg,317,372,307,362
0084d707a9cca12b.jpg,158,236,253,331
0084d707a9cca12b.jpg,129,208,540,619
0084d707a9cca12b.jpg,657,717,363,423
0097fb7387049d8b.jpg,441,725,116,400
0098312a40cabb46.jpg,537,594,687,744
0098312a40cabb46.jpg,108,438,173,503
00b242e2ccf93adc.jpg,820,875,230,285
00b242e2ccf93adc.jpg,91,153,16,78
00b242e2ccf93adc.jpg,690,763,183,256
00d5b7d68d52ac56.jpg,327,446,250,369
00e64d002478816c.jpg,822,926,475,579
01001bfe5b392d42.jpg,288,373,131,216
0102781693a55cdd.jpg,374,446,901,973
0102781693a55cdd.jpg,328,383,326,381
0102781693a55cdd.jpg,375,495,663,783
0102781693a55cdd.jpg,542,603,341,402
010c887b686452d1.jpg,866,922,709,765
010c887b686452d1.jpg,212,267,458,513
010c887b686452d1.jpg,516,569,510,563
010c887b686452d1.jpg,624,682,455,513
010c887b686452d1.jpg,864,927,623,686
010c887b686452d1.jpg,349,412,427,490
010c887b686452d1.jpg,125,178,398,451
010c887b686452d1.jpg,790,840,394,444
010c887b686452d1.jpg,514,572,395,453
010ee894cfeb8e2d.jpg,231,722,86,577
010ee894cfeb8e2d.jpg,912,970,439,497
012b82dc2bafea70.jpg,587,639,539,591
013543040c660f1e.jpg,258,348,233,323
014b97550b9f539c.jpg,514,565,367,418
014b97550b9f539c.jpg,258,326,287,355
0199667204375f07.jpg,661,720,112,171
0199667204375f07.jpg,280,355,194,269
0199667204375f07.jpg,445,510,200,265
0199bbd8f37992b9.jpg,352,675,165,488
01a105e0cd997b28.jpg,284,339,104,159
01a105e0cd997b28.jpg,62,122,606,666
01a105e0cd997b28.jpg,219,279,104,164
01a105e0cd997b28.jpg,57,107,587,637
01a105e0cd997b28.jpg,312,416,471,575
01a7cfc7c48f6376.jpg,474,529,442,497
01a7cfc7c48f6376.jpg,515,587,228,300
01a7cfc7c48f6376.jpg,417,498,187,268
01a9b8e991c340ec.jpg,173,232,235,294
020210f318670e65.jpg,406,499,216,309
020210f318670e65.jpg,497,591,243,337
020210f318670e65.jpg,906,1010,268,372
020517b9eff94e00.jpg,428,524,185,281
0208853ef61f5d0c.jpg,367,471,287,391
0208853ef61f5d0c.jpg,787,928,268,409
0215eeb1fba3a719.jpg,698,759,479,540
0215eeb1fba3a719.jpg,301,359,261,319
0215eeb1fba3a719.jpg,820,979,362,521
02291ca49df995f6.jpg,228,337,303,412
0243459de7a4b0ce.jpg,272,329,650,707
0243459de7a4b0ce.jpg,313,434,82,203
025b3651aec8c802.jpg,239,419,202,382
029c04284a8c77c9.jpg,137,227,74,164
029c04284a8c77c9.jpg,458,550,84,176
029c04284a8c77c9.jpg,774,879,114,219
02ab2b488a224904.jpg,456,542,136,222
02b194f176ea5416.jpg,206,414,80,288
02b194f176ea5416.jpg,526,719,122,315
02bec5a174e03c85.jpg,201,264,343,406
02bec5a174e03c85.jpg,414,570,89,245
02bec5a174e03c85.jpg,175,358,147,330
02bec5a174e03c85.jpg,640,795,236,391
02ce731cd2da2b47.jpg,413,450,14,51
02ce731cd2da2b47.jpg,278,313,155,190
02ce731cd2da2b47.jpg,363,425,131,193
02ce731cd2da2b47.jpg,611,688,465,542
02ce731cd2da2b47.jpg,52,175,200,323
02ce731cd2da2b47.jpg,348,418,472,542
02d2834c5686ea96.jpg,431,508,234,311
030580b388f8d4fe.jpg,176,236,401,461
030580b388f8d4fe.jpg,254,369,104,219
0336f9e8980b56cb.jpg,316,578,133,395
0339f3a5292cdf56.jpg,55,113,535,593
034e40f59a6236fb.jpg,238,303,465,530
0376e7c0565b8a67.jpg,858,912,270,324
037d3080c8e2a715.jpg,4,77,488,561
037d3080c8e2a715.jpg,609,745,143,279
03b447e0f674324d.jpg,560,719,118,277
03b447e0f674324d.jpg,312,469,130,287
03b9b2c1f32493ea.jpg,349,723,123,497
03d7f24a35ee44ea.jpg,317,646,159,488
03d7f24a35ee44ea.jpg,666,906,246,486
03de97cd4c0c2dbc.jpg,37,88,486,537
03de97cd4c0c2dbc.jpg,241,312,294,365
03de97cd4c0c2dbc.jpg,439,560,64,185
03de97cd4c0c2dbc.jpg,9,102,148,241
03fbe696bd10043e.jpg,495,759,171,435
03fbe696bd10043e.jpg,410,690,159,439
03fe1cda88f76e1b.jpg,284,422,40,178
0437b4a28d0d800b.jpg,495,555,142,202
0447d4448b632baa.jpg,301,357,628,684
047b07ab046b853a.jpg,617,972,24,379
047b07ab046b853a.jpg,209,549,4,344
04877a9b53288a4f.jpg,533,589,328,384
04877a9b53288a4f.jpg,671,735,242,306
04877a9b53288a4f.jpg,357,418,309,370
04877a9b53288a4f.jpg,214,277,260,323
04877a9b53288a4f.jpg,456,517,323,384
04877a9b53288a4f.jpg,921,987,263,329
04877a9b53288a4f.jpg,748,810,305,367
04877a9b53288a4f.jpg,287,345,282,340
04877a9b53288a4f.jpg,105,167,283,345
04877a9b53288a4f.jpg,829,887,282,340
04877a9b53288a4f.jpg,625,680,290,345
04877a9b53288a4f.jpg,162,219,290,347
0499af873e64f06d.jpg,329,732,22,425
049a3c6f883fa3d5.jpg,465,689,92,316
049f8dff14552fa9.jpg,10,70,689,749
04a29e5502cf9e1f.jpg,26,90,323,387
04a29e5502cf9e1f.jpg,424,489,30,95
04b5f10976b47b46.jpg,855,957,319,421
04b5f10976b47b46.jpg,282,780,112,610
04bb072f2b1535bc.jpg,418,477,210,269
04cc4fdf9aad5217.jpg,634,720,109,195
04df896d3633cdc5.jpg,23,403,170,550
05078671eabb71e5.jpg,649,723,294,368
05078671eabb71e5.jpg,220,296,232,308
05078671eabb71e5.jpg,893,951,318,376
05078671eabb71e5.jpg,607,664,262,319
05078671eabb71e5.jpg,498,594,481,577
05078671eabb71e5.jpg,474,552,174,252
05078671eabb71e5.jpg,538,612,206,280
