filename,c_min,c_max,r_min,r_max
0,345,349,211,215
0,331,334,125,129
0,250,253,126,130
0,221,225,128,133
0,427,430,116,120
0,393,396,79,83
0,373,376,119,123
0,90,96,225,230
0,128,133,237,245
0,170,175,230,236
0,114,119,285,292
0,81,90,304,313
0,44,54,303,311
0,7,13,264,272
0,31,36,231,237
0,26,32,192,200
0,66,70,195,201
0,74,79,175,180
0,113,117,168,173
0,129,133,165,170
0,158,162,162,166
0,174,179,156,162
0,197,201,159,163
0,192,195,191,196
0,242,247,179,185
0,161,166,269,275
0,0,3,317,325
0,346,349,68,72
0,418,420,62,65
0,376,379,59,62
0,120,132,599,616
0,1008,1014,256,266
0,853,857,131,136
0,878,883,131,136
0,900,904,138,144
0,922,927,142,147
0,936,941,139,145
0,959,964,134,141
0,984,989,141,146
0,1010,1014,141,147
0,877,884,168,177
0,947,952,160,167
0,963,968,190,197
0,982,987,194,201
0,798,802,133,137
0,815,819,170,175
0,794,798,166,172
0,845,849,167,174
0,839,842,145,150
0,1003,1008,164,171
0,921,928,226,234
0,881,886,215,221
0,836,842,209,217
0,801,807,204,212
0,875,881,257,265
0,932,938,270,277
0,1002,1010,295,303
0,984,989,249,257
0,918,923,173,179
0,973,978,163,169
0,913,918,160,166
0,700,706,236,243
0,664,670,239,247
0,669,676,260,268
0,618,624,264,272
0,598,602,239,245
0,627,635,235,244
0,560,564,237,243
0,524,528,246,250
0,522,527,267,273
0,607,613,198,205
0,600,604,157,162
0,628,632,154,159
0,528,532,157,163
0,505,509,142,147
0,488,492,143,148
0,503,508,165,172
0,554,558,165,170
0,769,775,160,167
0,750,755,160,167
0,682,687,155,161
0,704,708,156,162
0,658,663,153,159
0,604,608,135,141
0,687,691,127,133
0,701,705,127,133
0,732,737,130,136
0,532,537,136,140
0,570,573,137,141
0,618,621,80,84
0,538,541,78,82
0,571,576,154,160
0,744,748,104,109
0,711,715,105,109
0,660,664,106,111
0,616,620,110,114
0,579,583,109,113
0,548,552,106,110
0,510,514,104,107
0,333,336,155,159
0,350,354,168,174
0,390,394,167,173
0,366,371,250,257
0,313,319,177,183
0,231,236,251,256
0,236,240,157,162
0,224,228,152,157
0,210,214,151,156
0,262,265,157,161
0,431,435,167,172
0,427,431,205,211
0,467,471,168,173
0,466,474,257,266
0,293,297,252,257
0,568,572,273,278
0,489,492,242,247
0,603,605,61,63
0,463,466,93,96
0,382,386,147,152
0,433,436,145,151
0,465,468,68,73
0,709,716,267,276
0,761,768,268,276
0,735,741,241,249
0,75,85,247,257
0,707,713,199,207
0003d5dfa8f0dd41,152,251,52,125
0003d5dfa8f0dd41,376,515,132,297
0003d5dfa8f0dd41,719,817,77,182
0007ad5c6245a41d,165,463,177,584
0007ad5c6245a41d,629,647,310,321
0007ad5c6245a41d,640,653,277,293
0007ad5c6245a41d,675,937,105,464
0007ad5c6245a41d,952,965,274,299
0007ad5c6245a41d,960,972,291,315
0007ad5c6245a41d,1003,1019,326,344
000cc0cd61c6c8d7,235,437,357,602
001ea8a8ca78a3bc,124,256,37,203
001ea8a8ca78a3bc,407,510,231,361
001ea8a8ca78a3bc,637,729,191,316
001ea8a8ca78a3bc,790,856,95,289
00430ce61009c131,52,348,278,692
00430ce61009c131,368,608,253,632
00430ce61009c131,612,767,225,542
0046c490ad699ce9,409,434,265,329
0046c490ad699ce9,534,553,245,326
0046c490ad699ce9,631,668,238,287
0046c490ad699ce9,742,868,154,325
004a688b02428848,161,308,597,759
005feff8c814fb4c,170,472,93,496
005feff8c814fb4c,550,849,22,470
006f325ad71643a2,236,360,198,341
006f325ad71643a2,374,449,354,488
00790ccfad100384,241,319,177,282
00790ccfad100384,643,721,238,333
007e2d0680208072,442,645,197,472
0081d67c4cfc9134,678,838,0,190
00824274fbef9c93,266,511,3,294
0084d707a9cca12b,218,267,451,537
0084d707a9cca12b,319,355,311,364
0084d707a9cca12b,495,527,328,382
0084d707a9cca12b,673,718,364,417
0084d707a9cca12b,872,916,237,298
008bf03851527e74,70,166,418,521
008bf03851527e74,247,268,85,119
008bf03851527e74,330,351,66,98
008bf03851527e74,373,394,131,157
008bf03851527e74,383,406,64,98
008bf03851527e74,423,448,76,103
008bf03851527e74,759,847,37,181
0097fb7387049d8b,481,681,104,409
0098312a40cabb46,155,453,165,532
00b242e2ccf93adc,143,216,163,254
00b242e2ccf93adc,888,966,261,353
00d5b7d68d52ac56,324,443,236,366
00e64d002478816c,817,1022,280,617
01001bfe5b392d42,291,384,119,238
0102781693a55cdd,339,390,318,381
0102781693a55cdd,487,525,273,373
0102781693a55cdd,548,605,332,404
010c887b686452d1,124,171,389,451
010c887b686452d1,212,263,452,517
010c887b686452d1,355,399,434,481
010c887b686452d1,515,565,397,456
010c887b686452d1,625,673,449,507
010c887b686452d1,788,841,394,442
010c887b686452d1,867,921,623,684
010ee894cfeb8e2d,324,702,142,510
012b82dc2bafea70,152,209,184,269
012b82dc2bafea70,741,802,284,374
013543040c660f1e,264,343,226,328
01434c748b9d4c34,433,535,68,204
014b97550b9f539c,273,326,289,356
014b97550b9f539c,512,552,362,434
0199667204375f07,282,347,181,275
0199667204375f07,448,508,192,276
0199667204375f07,659,712,105,180
0199bbd8f37992b9,328,595,162,501
01a105e0cd997b28,167,513,377,732
01a7cfc7c48f6376,421,485,178,269
01a7cfc7c48f6376,518,587,224,307
01a9b8e991c340ec,167,217,230,297
01a9b8e991c340ec,332,354,247,272
01a9b8e991c340ec,766,787,240,271
01a9b8e991c340ec,1010,1022,96,129
020210f318670e65,403,488,212,320
020210f318670e65,505,593,230,344
020210f318670e65,912,1008,270,383
020517b9eff94e00,427,531,163,278
0208853ef61f5d0c,154,170,256,330
0208853ef61f5d0c,383,457,280,401
0208853ef61f5d0c,603,626,341,407
0208853ef61f5d0c,801,919,249,405
0208853ef61f5d0c,963,1022,376,555
0215eeb1fba3a719,2,88,157,257
0215eeb1fba3a719,139,265,86,260
0215eeb1fba3a719,263,283,276,315
0215eeb1fba3a719,293,340,258,313
0215eeb1fba3a719,481,580,234,349
0215eeb1fba3a719,684,833,53,272
02291ca49df995f6,229,321,290,407
023e111345bab1c0,346,375,205,248
0243459de7a4b0ce,327,426,76,195
025b3651aec8c802,230,389,185,386
025b3651aec8c802,420,520,396,496
029c04284a8c77c9,148,220,69,167
029c04284a8c77c9,467,543,79,180
029c04284a8c77c9,791,886,101,221
02ab2b488a224904,122,166,265,322
02ab2b488a224904,161,193,220,274
02ab2b488a224904,450,515,130,225
02ab2b488a224904,821,882,269,354
02b00a8a81ea555b,43,73,214,253
02b00a8a81ea555b,313,343,396,429
02b00a8a81ea555b,543,624,462,542
02b00a8a81ea555b,682,784,358,466
02b00a8a81ea555b,708,779,213,319
02b194f176ea5416,203,360,68,295
